Folio,Grado,Sexo,Edad,Autoconsciencia1,Autoconsciencia2,Autoconsciencia3,Eficacia1,Eficacia2,Eficacia3,Persistencia1,Persistencia2,Persistencia3,ApoyoEscuela1,ApoyoEscuela2,ApoyoEscuela3,CoherenciaFam1,CoherenciaFam2,CoherenciaFam3,Compañerismo1,Compañerismo2,Compañerismo3,RegulaciónEmo1,RegulaciónEmo2,RegulaciónEmo3,Empatía1,Empatía2,Empatía3,ControlConducta1,ControlConducta2,ControlConducta3,Optimismo1,Optimismo2,Optimismo3,Entusiasmo1,Entusiasmo2,Entusiasmo3,Gratitud1,Gratitud2,Gratitud3,Gratitud4
1414,1,2,13,3,3,3,4,4,4,2,2,2,3,1,4,4,3,3,4,3,4,4,3,3,3,3,2,4,4,4,3,4,4,3,3,2,1,3,2,2
1415,1,1,13,2,4,2,3,2,2,1,3,1,4,1,1,4,4,3,1,2,2,3,4,2,2,1,4,2,3,3,4,4,4,4,,4,3,4,4,4
1416,1,2,13,3,3,2,4,2,3,2,1,2,4,4,4,4,4,3,4,4,4,3,3,3,2,4,3,4,3,3,4,4,4,4,3,4,3,4,4,4
1417,1,1,13,2,3,2,4,4,2,2,3,4,4,3,1,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,3
1418,1,2,14,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,5
1419,1,1,13,3,3,3,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,3,3,2,2,4,4,4,3,3,4,4,3,4,4
1420,1,2,13,3,4,3,4,2,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,5,4
1421,1,2,13,2,3,3,2,2,2,3,4,4,3,3,3,2,3,3,2,2,2,3,4,4,3,3,3,2,3,3,2,2,2,3,5,5,3,3,3,2
1422,1,2,13,3,3,2,3,3,3,1,1,2,1,1,2,3,3,3,3,1,1,3,3,3,2,2,3,3,3,3,3,4,4,4,3,4,3,4,2,2
1423,1,2,13,3,3,2,4,3,3,4,1,2,3,3,2,4,4,4,4,4,4,3,3,4,3,4,4,3,3,3,4,3,3,2,2,3,3,3,4,4
1424,1,2,14,3,4,3,4,2,3,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,4,3,3,3,4,3,3,3,3,2,3,2
1425,1,2,13,3,3,3,3,3,2,1,2,2,4,3,4,4,4,3,4,4,4,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2,3,2
1426,2,2,14,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,5,5,5,5,5,5,5
1427,2,2,14,3,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3
1428,2,2,14,3,4,3,4,4,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,5,5,4,4,5,5
