"","Grado","Sexo","Edad","Autoconsciencia","Eficacia","Persistencia","ApoyoEscuela","CoherenciaFam","Compañerismo","RegulaciónEmo","Empatía","ControlConducta","Optimismo","Entusiasmo","Gratitud"
"1044",3,1,16,3.66666666666667,3.33333333333333,2.66666666666667,3.66666666666667,2,4,3.66666666666667,4,2.66666666666667,4,3,4
"1045",3,2,15,3.66666666666667,4,3,4,3.66666666666667,4,4,4,3.66666666666667,4,4,4.66666666666667
"1046",3,1,16,2.66666666666667,2.66666666666667,3,3.33333333333333,4,4,3.66666666666667,4,2.33333333333333,4,4.33333333333333,4
"1047",3,2,15,4,3.33333333333333,3.66666666666667,3.66666666666667,4,4,3.66666666666667,3.33333333333333,3.66666666666667,4,3.33333333333333,4.33333333333333
"1048",3,1,15,3.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,4,3.33333333333333,3.66666666666667,3,4,3.33333333333333,4.33333333333333
"1049",3,1,16,4,4,3.33333333333333,2.66666666666667,4,3,3.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,4,3.33333333333333
"1050",2,2,15,2.66666666666667,4,2.33333333333333,3.66666666666667,4,2.66666666666667,2.66666666666667,3,2.33333333333333,4,3,3
"1051",1,2,13,3,1.66666666666667,2.66666666666667,3.66666666666667,3.33333333333333,4,2,3.33333333333333,1.66666666666667,4,3.66666666666667,3
"1052",1,2,13,3.33333333333333,2.66666666666667,2.66666666666667,4,4,4,3,4,4,3,5,5
"1053",1,2,14,3.66666666666667,4,2.66666666666667,3.33333333333333,2,3.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,4,5,3.66666666666667
"1054",1,1,13,3.33333333333333,3.66666666666667,3.33333333333333,4,3.66666666666667,2.66666666666667,3,3,3.33333333333333,3,3.33333333333333,4.33333333333333
"1055",1,1,14,2,2.66666666666667,2.66666666666667,1,2.66666666666667,2.33333333333333,1.33333333333333,2,2.33333333333333,3,3,3
"1056",1,1,14,3,3.66666666666667,2.33333333333333,2.66666666666667,3,2,2.66666666666667,3,2.66666666666667,3.66666666666667,3.66666666666667,5
"1057",1,1,13,2.33333333333333,2.33333333333333,3,3.33333333333333,3.66666666666667,3.66666666666667,3,2.66666666666667,2.66666666666667,4,3,3.66666666666667
"1058",1,2,13,2.33333333333333,4,3,3.66666666666667,3.33333333333333,4,3,3.33333333333333,3.66666666666667,3,3.33333333333333,3
"1059",1,2,13,3,2,1.33333333333333,4,2.33333333333333,2.66666666666667,2.33333333333333,2.33333333333333,2,3.33333333333333,5,5
"1060",1,2,13,3.66666666666667,3.66666666666667,3.33333333333333,3.33333333333333,4,3.33333333333333,4,3.5,3.66666666666667,4,4.66666666666667,4.33333333333333
"1061",1,1,13,3,3.33333333333333,3,3,3.66666666666667,3.66666666666667,4,4,3,3,3,4.33333333333333
"1062",1,2,13,3.66666666666667,2.66666666666667,1.66666666666667,3.33333333333333,4,4,2.66666666666667,3,2.33333333333333,3.66666666666667,4.33333333333333,4.33333333333333
"1063",1,2,13,2.66666666666667,3,3.33333333333333,2.66666666666667,2.33333333333333,3,2,3.33333333333333,2.66666666666667,4,3.33333333333333,2.66666666666667
"1064",1,2,14,3.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,4,3.66666666666667,3.66666666666667,3.33333333333333,4,4.66666666666667,4
"1065",1,1,15,2.66666666666667,3.66666666666667,2.33333333333333,3.66666666666667,3.66666666666667,2.66666666666667,3,3.33333333333333,3.66666666666667,3.33333333333333,3,2.66666666666667
"1066",1,1,13,4,3.66666666666667,1.33333333333333,4,3,3.66666666666667,3.66666666666667,2.66666666666667,3.33333333333333,2.33333333333333,4.5,5
"1067",1,1,13,4,3.33333333333333,2.66666666666667,3.33333333333333,3.33333333333333,2.66666666666667,3,1.33333333333333,3.33333333333333,3,5,3.66666666666667
"1068",1,1,13,3,2.33333333333333,2.66666666666667,2.33333333333333,3.33333333333333,3,1.66666666666667,2.33333333333333,1.33333333333333,3,2.66666666666667,3
"1069",1,1,13,2.66666666666667,3,2.33333333333333,4,3.5,3,2.66666666666667,2.66666666666667,2.66666666666667,4,4.66666666666667,4
"1070",3,1,15,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3,3,3,3.33333333333333,3,3.66666666666667,3.33333333333333
"1071",3,1,15,3.33333333333333,3,3.5,2,4,3,3,3,3.5,3.66666666666667,3.33333333333333,4
"1072",2,2,15,3.33333333333333,3.66666666666667,3.66666666666667,4,3.66666666666667,4,3,4,2.66666666666667,4,4,4.33333333333333
"1073",3,2,16,3.33333333333333,3.33333333333333,3,4,3.66666666666667,4,3,2.33333333333333,3,3.66666666666667,3.66666666666667,4
"1074",2,2,15,3.33333333333333,4,2.33333333333333,4,2.66666666666667,3.33333333333333,2.66666666666667,2.66666666666667,2.33333333333333,4,4.33333333333333,5
"1075",2,1,14,1.66666666666667,1.33333333333333,1.66666666666667,1.66666666666667,2.33333333333333,2.33333333333333,2.33333333333333,2.66666666666667,2.33333333333333,3,2.5,2.33333333333333
"1076",3,2,16,2.66666666666667,3.66666666666667,2.33333333333333,3.66666666666667,2.66666666666667,3.33333333333333,2.33333333333333,3.66666666666667,2.66666666666667,2.33333333333333,3.33333333333333,2.66666666666667
"1077",3,2,16,3.33333333333333,3,2,3.66666666666667,3.66666666666667,4,3.66666666666667,3.33333333333333,4,4,3.33333333333333,3.66666666666667
"1078",1,1,13,2.66666666666667,2.33333333333333,3.33333333333333,2.33333333333333,2.33333333333333,2,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
"1079",2,1,14,2.66666666666667,3.66666666666667,2.33333333333333,3.66666666666667,3.66666666666667,2.33333333333333,4,3.33333333333333,3.33333333333333,3.66666666666667,3.66666666666667,4
"1080",2,1,14,2.33333333333333,4,2,4,2.66666666666667,2.33333333333333,2,1.66666666666667,2,1.33333333333333,1.66666666666667,2.66666666666667
"1081",3,1,15,3.33333333333333,3,2.66666666666667,3.33333333333333,4,3.66666666666667,3,3.33333333333333,2.33333333333333,4,4,4
"1082",3,1,15,3.66666666666667,4,3,3.33333333333333,4,4,4,3.66666666666667,3.5,3.66666666666667,3.33333333333333,3
"1083",2,1,15,3,4,4,4,4,4,4,4,3.66666666666667,4.33333333333333,5,5
"1084",3,1,15,2.33333333333333,2.66666666666667,2,3,2.33333333333333,3.66666666666667,3.33333333333333,4,3,3.33333333333333,3.33333333333333,3.66666666666667
"1085",3,1,16,2.33333333333333,2,3.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667,4.66666666666667,4
"1086",3,1,16,4,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3,3,2.66666666666667,4,4,3.66666666666667
"1087",3,2,15,4,3,3,3.66666666666667,3.66666666666667,4,2.33333333333333,3.33333333333333,3,3.33333333333333,4,4
"1088",1,1,13,1.66666666666667,2,2.66666666666667,2.5,2.33333333333333,2.66666666666667,2.5,3,1.5,3.5,3,3
"1089",1,1,13,2.66666666666667,3,2,2.33333333333333,3,2.66666666666667,3,3.33333333333333,2.33333333333333,3,3,3
"1090",1,1,13,3.66666666666667,3.33333333333333,4,4,4,4,4,3.33333333333333,3.33333333333333,4,4,4
"1091",1,1,13,3.33333333333333,3.66666666666667,3,4,3.33333333333333,3.33333333333333,1.66666666666667,3,2.66666666666667,3.5,3,3
"1092",1,1,13,3,4,2.66666666666667,2.66666666666667,3,3,3.33333333333333,3,2.66666666666667,4,4,3.66666666666667
"1093",1,1,13,1.66666666666667,2.66666666666667,2.66666666666667,3,4,3.66666666666667,3.66666666666667,3,3.33333333333333,4,4.66666666666667,3.66666666666667
"1094",1,1,13,2.66666666666667,2.66666666666667,2,2.5,4,2.33333333333333,2.33333333333333,1.66666666666667,2,2.66666666666667,1.33333333333333,2.66666666666667
"1095",1,1,13,3.33333333333333,3.33333333333333,3.33333333333333,2.33333333333333,3,2.66666666666667,1.66666666666667,3,2,3,1.66666666666667,2.66666666666667
"1096",2,2,14,2.33333333333333,2.33333333333333,1.66666666666667,3,2.66666666666667,4,3.66666666666667,3.33333333333333,2,2.66666666666667,3.66666666666667,4
